"rel_path","folder","filename","conformance","status","error","size_mb","modified","mat_format","read_method","n_vars","vars","data_var","n_rows","n_cols","matrix_class","matrix_mb","inferred_version","file_version","effective_version","expected_cols","cols_ok","version_conflict","has_timestamps","ts_len","has_variablenames","variable_names","has_ampsettings","ampsettings_kb","has_metadata","has_machinename","n_meta_fields","missing_fields","extra_fields","rate_hz","dyno_gain","read_secs","m_SampleName","m_OpType","m_Operation","m_OperationType","m_TriggerTime","m_Rate","m_CutDiameter","m_SurfaceSpeed","m_MaxRPM","m_Notes","m_Feed","m_DepthOfCut","m_Insert","m_EdgeID","m_Machine","m_Tool","m_New_Edge","m_Swarf","m_SwarfID","m_Coolant","m_fileVersion","m_Dyno","m_Stream1","conformance_v2"
"10. FRF Matrix + Extra\3. Data\10-AA-MF-2023-3-31-F23-30MPM_0.1feed_0.2DoC.mat","10. FRF Matrix + Extra\3. Data","10-AA-MF-2023-3-31-F23-30MPM_0.1feed_0.2DoC.mat","A - current","ok","","200.357448","2025-04-17 11:24:35","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","3210240","10","double","256.8192","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","450","12.5439102","10-AA-MF-2023-3-31","VC","Turning","Facing","2024-12-11T11:06:50.000Z","25600","80","30","2000","","0.1","0.2","CNMG120408-SM H13A","","NLX-2500 | 700","QS-PCLNL 2525-12C","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
"10. FRF Matrix + Extra\3. Data\10-AA-MF-2023-3-31-F24-30MPM_0.05feed_0.05DoC.mat","10. FRF Matrix + Extra\3. Data","10-AA-MF-2023-3-31-F24-30MPM_0.05feed_0.05DoC.mat","A - current","ok","","368.173374","2025-04-17 11:24:35","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","5849600","10","double","467.968","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","450","18.5674665","10-AA-MF-2023-3-31","VC","Turning","Facing","2024-12-11T11:15:08.690Z","25600","80","30","2000","","0.05","0.05","CNMG120408-SM H13A","","NLX-2500 | 700","QS-PCLNL 2525-12C","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
"10. FRF Matrix + Extra\3. Data\10-AA-MF-2023-3-31-F25-30MPM_0.05feed_0.05DoC.mat","10. FRF Matrix + Extra\3. Data","10-AA-MF-2023-3-31-F25-30MPM_0.05feed_0.05DoC.mat","A - current","ok","","369.529877","2025-04-17 11:24:35","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","5864960","10","double","469.1968","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","450","27.5300865","10-AA-MF-2023-3-31","VC","Turning","Facing","2024-12-11T11:28:40.072Z","25600","80","30","2000","","0.05","0.05","DCMW11T304F--1 PCD20","","NLX-2500 | 700","DDJCL2525X11JETI","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
"10. FRF Matrix + Extra\3. Data\10-AA-MF-2023-3-31-F26-100MPM_0.05feed_0.05DoC.mat","10. FRF Matrix + Extra\3. Data","10-AA-MF-2023-3-31-F26-100MPM_0.05feed_0.05DoC.mat","A - current","ok","","138.457827","2025-04-17 11:24:35","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","2191360","10","double","175.3088","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","20","2.2029674","10-AA-MF-2023-3-31","VC","Turning","Facing","2024-12-11T11:40:32.057Z","25600","80","100","2000","","0.05","0.05","DCMW11T304F-1 PCD20","","NLX-2500 | 700","DDJCL2525X11JETI","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
"10. FRF Matrix + Extra\3. Data\ITP Samples\101-AA-MF-2024-11-1\101-AA-MF-2024-11-1-F2-30MPM_0.1feed_0.1DoC.mat","10. FRF Matrix + Extra\3. Data\ITP Samples\101-AA-MF-2024-11-1","101-AA-MF-2024-11-1-F2-30MPM_0.1feed_0.1DoC.mat","A - current","ok","","198.538162","2024-12-11 22:40:45","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","3125760","10","double","250.0608","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","45","5.8819671","101-AA-MF-2024-11-1","","Turning","Facing","2024-12-11T13:14:28.238Z","25600","80","30","1000","","0.1","0.1","DNMG150604-MF1 TS2000 (A41)","d53c0e4f","NLX-2500 | 700","DDJNL2525X15JETI","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
"10. FRF Matrix + Extra\3. Data\ITP Samples\101-AA-MF-2024-11-1\101-AA-MF-2024-11-1-F3-30MPM_0.05feed_0.05DoC.mat","10. FRF Matrix + Extra\3. Data\ITP Samples\101-AA-MF-2024-11-1","101-AA-MF-2024-11-1-F3-30MPM_0.05feed_0.05DoC.mat","A - current","ok","","381.955894","2024-12-11 22:40:46","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","6010880","10","double","480.8704","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","45","19.3643567","101-AA-MF-2024-11-1","","Turning","Facing","2024-12-11T13:18:54.910Z","25600","80","30","1000","","0.1","0.1","DNMG150604-MF1 TS2000 (A41)","d53c0e4f","NLX-2500 | 700","DDJNL2525X15JETI","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
"10. FRF Matrix + Extra\3. Data\ITP Samples\101-AA-MF-2024-11-1\101-AA-MF-2024-11-1-F4-30MPM_0.05feed_0.05DoC.mat","10. FRF Matrix + Extra\3. Data\ITP Samples\101-AA-MF-2024-11-1","101-AA-MF-2024-11-1-F4-30MPM_0.05feed_0.05DoC.mat","A - current","ok","","370.09904","2024-12-11 13:37:19","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","5808640","10","double","464.6912","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","45","18.8403796","101-AA-MF-2024-11-1","","Turning","Facing","2024-12-11T13:31:46.630Z","25600","80","30","2000","Swapped to Seco PCD","0.05","0.05","DCMW11T304F-L1, PCD20","d53c0e4f","NLX-2500 | 700","DDJNL2525X15JETI","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
"10. FRF Matrix + Extra\3. Data\ITP Samples\101-AA-MF-2024-11-1\101-AA-MF-2024-11-1-F5-100MPM_0.05feed_0.05DoC.mat","10. FRF Matrix + Extra\3. Data\ITP Samples\101-AA-MF-2024-11-1","101-AA-MF-2024-11-1-F5-100MPM_0.05feed_0.05DoC.mat","A - current","ok","","142.878293","2024-12-11 22:40:47","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","2245120","10","double","179.6096","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","45","8.2628579","101-AA-MF-2024-11-1","","Turning","Facing","2024-12-11T13:38:33.548Z","25600","80","30","2000","Swapped to Seco PCD","0.5","0.5","DCMW11T304F-L1, PCD20","d53c0e4f","NLX-2500 | 700","DDJNL2525X15JETI","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
"10. FRF Matrix + Extra\3. Data\ITP Samples\97-AA-MF-2024-11-1\97-AA-MF-2024-10-30-F1-30MPM_0.1feed_0.1DoC.mat","10. FRF Matrix + Extra\3. Data\ITP Samples\97-AA-MF-2024-11-1","97-AA-MF-2024-10-30-F1-30MPM_0.1feed_0.1DoC.mat","A - current","ok","","206.071087","2024-12-05 21:02:20","v7.3 (HDF5)","matfile (partial)","4","AmpSettings|DATA|VariableNames|metadata","DATA","3138560","10","double","251.0848","0.1","1","1","10","1","0","0","NaN","1","Time|Fx|Fy|Fz|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2","1","113.398","1","0","23","","","25600","10","17.106652","97-AA-MF-2024-10-30","VC","Turning","Facing","2024-12-04T13:01:50.343Z","25600","80","30","2000","Porous sample - tool info incorrect","0.1","0.1","CNMG 12 04 08-SM H13A","0791961d","NLX-2500 | 700","QS-PCLNL 2525-12C","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","X - DECLARED v1.0, WRONG COLUMNS"
"10. FRF Matrix + Extra\3. Data\ITP Samples\98-AA-MF-2024-11-1\98-AA-MF-2024-11-1-F1-30MPM_0.1feed_0.1DoC.mat","10. FRF Matrix + Extra\3. Data\ITP Samples\98-AA-MF-2024-11-1","98-AA-MF-2024-11-1-F1-30MPM_0.1feed_0.1DoC.mat","A - current","ok","","188.739237","2024-12-10 15:26:06","v6/v7","whos -file","4","AmpSettings|DATA|VariableNames|metadata","DATA","2990080","10","double","239.2064","0.1","1","1","10","1","0","0","NaN","1","Time|Fx1|Fx2|Fy1|Fy2|Fz1|Fz2|Fz3|Fz4|Tacho (ai0)","1","113.382","1","0","23","","","25600","25","54.2132464","98-AA-MF-2024-11-1","VC","Turning","Facing","2024-12-10T15:23:27.155Z","25600","80","30","2000","Getting closer to the","0.1","0.1","CNMG120408-SM H13A-MF1 TS2000 (A41)","","NLX-2500 | 700","QS-PCLNL 2525-12C","false","false","false","0","1","struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}","A - current"
