rel_path,folder,filename,conformance,status,error,size_mb,modified,mat_format,read_method,n_vars,vars,data_var,n_rows,n_cols,matrix_class,matrix_mb,inferred_version,file_version,effective_version,expected_cols,cols_ok,version_conflict,has_timestamps,ts_len,has_variablenames,variable_names,has_ampsettings,ampsettings_kb,has_metadata,has_machinename,n_meta_fields,missing_fields,extra_fields,rate_hz,dyno_gain,read_secs,m_SampleName,m_OpType,m_Operation,m_OperationType,m_TriggerTime,m_Rate,m_CutDiameter,m_SurfaceSpeed,m_MaxRPM,m_Notes,m_Feed,m_DepthOfCut,m_Insert,m_EdgeID,m_Machine,m_Tool,m_New_Edge,m_Swarf,m_SwarfID,m_Coolant,m_fileVersion,m_Dyno,m_Stream1
11-RK-MO-2023-10-16-F1-30MPM_0.25feed_0.1DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-F1-30MPM_0.25feed_0.1DoC.mat,"C - legacy layout, has metadata",ok,,137.959646,2024-09-28 16:40:02,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,2519040,9,double,181.37088,0.5,NaN,0.5,9,1,0,1,2519040,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.6884504,11-RK-MO-2023-10-16-F1-30MPM_0.1feed_0.1DoC,,,,2023-10-17 08:40:44,25600,51.48,30,1000,First attempt at facing pass of RR1000,0.05,0.1,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-F2-30MPM_0.05feed_0.1DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-F2-30MPM_0.05feed_0.1DoC.mat,"C - legacy layout, has metadata",ok,,144.469243,2024-09-28 16:40:03,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,2670080,9,double,192.24576,0.5,NaN,0.5,9,1,0,1,2670080,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.7235775,11-RK-MO-2023-10-16-F2-30MPM_0.1feed_0.1DoC,,,,2023-10-17 08:58:19,25600,51.48,30,1000,Flood coolant,0.05,0.1,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-F2_1-60MPM_0.05feed_0.1DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-F2_1-60MPM_0.05feed_0.1DoC.mat,"C - legacy layout, has metadata",ok,,162.356593,2024-09-28 16:40:17,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,3151360,9,double,226.89792,0.5,NaN,0.5,9,1,0,1,3151360,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.8283057,11-RK-MO-2023-10-16-F2_1-60MPM_0.05feed_0.1DoC,,,,2023-10-17 15:57:54,25600,48.5,60,1000,flood,0.05,0.1,CNMG 12 04 -08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-F3-30MPM_0.1feed_0.1DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-F3-30MPM_0.1feed_0.1DoC.mat,"C - legacy layout, has metadata",ok,,146.647492,2024-09-28 16:40:04,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,2493440,9,double,179.52768,0.5,NaN,0.5,9,1,0,1,2493440,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.7345215,11-RK-MO-2023-10-16-F2-30MPM_0.1feed_0.1DoC,,,,2023-10-17 09:06:45,25600,51.48,30,1000,40 Bar Coolant,0.05,0.1,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-F4-60MPM_0.05feed_0.1DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-F4-60MPM_0.05feed_0.1DoC.mat,"C - legacy layout, has metadata",ok,,95.770065,2024-09-28 16:40:05,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,1679360,9,double,120.91392,0.5,NaN,0.5,9,1,0,1,1679360,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.516209,11-RK-MO-2023-10-16-F3-60MPM_0.05feed_0.1DoC,,,,2023-10-17 09:19:53,25600,51.48,60,1000,Henry's optimised RR 1000 parameters. Through coolant 40 Bar,0.05,0.1,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-F5-60MPM_0.05feed_0.1DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-F5-60MPM_0.05feed_0.1DoC.mat,"C - legacy layout, has metadata",ok,,85.305817,2024-09-28 16:40:07,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,1630720,9,double,117.41184,0.5,NaN,0.5,9,1,0,1,1630720,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.4656848,11-RK-MO-2023-10-16-F5-60MPM_0.05feed_0.1DoC,,,,2023-10-17 09:32:27,25600,51.48,60,1000,Henry's optimised RR 1000 parameters. Flood coolant.,0.05,0.1,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-F6-60MPM_0.05feed_0.1DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-F6-60MPM_0.05feed_0.1DoC.mat,"C - legacy layout, has metadata",ok,,146.419335,2024-09-28 16:40:08,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,2680320,9,double,192.98304,0.5,NaN,0.5,9,1,0,1,2680320,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.7497896,11-RK-MO-2023-10-16-F6-30MPM_0.05feed_0.1DoC,,,,2023-10-17 09:42:55,25600,51.48,30,1000,Henry's optimised RR 1000 parameters. Flood coolant.,0.05,0.1,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-F7-60MPM_0.05feed_0.1DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-F7-60MPM_0.05feed_0.1DoC.mat,"C - legacy layout, has metadata",ok,,74.685712,2024-09-28 16:40:09,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,1525760,9,double,109.85472,0.5,NaN,0.5,9,1,0,1,1525760,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.3966137,11-RK-MO-2023-10-16-F7-30MPM_0.05feed_0.1DoC,,,,2023-10-17 09:50:32,25600,51.48,80,1000,Henry's optimised RR 1000 parameters. Flood coolant.,0.05,0.1,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-O1-100MPM_feed_0.25DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-O1-100MPM_feed_0.25DoC.mat,"C - legacy layout, has metadata",ok,,98.217839,2024-09-28 16:39:56,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,2019840,9,double,145.42848,0.5,NaN,0.5,9,1,0,1,2019840,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.5347413,11-RK-MO-2023-10-16-F1-MPM_feed_DoC,,,,2023-10-16 15:50:53,25600,52.95,100,3500,,0.1,0.25,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
11-RK-MO-2023-10-16-O2-70MPM_0.1feed_0.25DoC.mat,D:\CMBE Admn 3214022001\Desktop\7. RR1000 Henry,11-RK-MO-2023-10-16-O2-70MPM_0.1feed_0.25DoC.mat,"C - legacy layout, has metadata",ok,,57.67235,2024-09-28 16:39:57,v7.3 (HDF5),matfile (partial),3,data|metadata|timestamps,data,1338880,9,double,96.39936,0.5,NaN,0.5,9,1,0,1,1338880,0,,0,NaN,1,0,16,OpType|Operation|OperationType|EdgeID|SwarfID|Coolant|fileVersion,,25600,1,0.3455173,11-RK-MO-2023-10-16-O2-100MPM_0.1feed_0.1DoC,,,,2023-10-17 07:43:03,25600,51.5,70,433,,0.1,0.1,CNMG 12 04 08-SGF,,NLX 2500 700,QS-PCLNL 2525-12C,false,false,,,,"struct{Devices,Gain}","struct{Device,DeviceIndex,Channels,MeasurementType,RateLim,VariableName}"
